data,total
24/08/2024 11:33,14
24/08/2024 11:40,51.7
24/08/2024 11:44,24.2
24/08/2024 11:59,43.78
24/08/2024 12:02,35.2
24/08/2024 12:36,18
24/08/2024 12:36,8
24/08/2024 12:45,27
24/08/2024 13:51,41.69
24/08/2024 14:29,24.2
24/08/2024 15:09,22
24/08/2024 16:23,25.3
24/08/2024 16:33,42.9
24/08/2024 16:50,79.2
24/08/2024 16:55,27.5
24/08/2024 16:56,51.7
24/08/2024 17:07,58.3
24/08/2024 17:11,24.2
24/08/2024 17:19,50
24/08/2024 17:23,47.3
24/08/2024 17:47,74.69
24/08/2024 17:59,16.5
24/08/2024 18:11,44.77
24/08/2024 18:12,48.4
24/08/2024 18:14,28.6
24/08/2024 18:50,46.2
25/08/2024 07:46,25.3
25/08/2024 07:57,38.5
25/08/2024 08:37,28.49
25/08/2024 08:37,35.2
25/08/2024 08:38,51.7
25/08/2024 08:38,17.6
25/08/2024 08:53,22
25/08/2024 09:14,31.9
25/08/2024 09:16,49.5
25/08/2024 09:23,23.1
25/08/2024 10:14,57.2
25/08/2024 10:14,27.39
25/08/2024 10:14,29.59
25/08/2024 10:30,32.78
25/08/2024 10:42,62.7
25/08/2024 10:49,46.2
25/08/2024 11:00,35.2
25/08/2024 11:02,30.8
25/08/2024 11:24,130.79
25/08/2024 11:25,73.7
27/08/2024 08:07,27.5
27/08/2024 08:22,19.8
27/08/2024 09:00,15.4
27/08/2024 09:09,12.1
27/08/2024 09:10,10
27/08/2024 09:42,12.1
27/08/2024 10:13,16.5
27/08/2024 10:14,25.3
27/08/2024 10:16,12.1
27/08/2024 10:17,8.8
27/08/2024 10:24,17.6
27/08/2024 11:23,25.3
27/08/2024 14:09,16.5
27/08/2024 14:30,23.1
27/08/2024 15:58,27.5
27/08/2024 16:19,26.4
27/08/2024 16:19,31.9
27/08/2024 16:46,72.6
27/08/2024 16:52,25.3
27/08/2024 17:01,44
27/08/2024 17:58,37.4
27/08/2024 18:00,13.2
27/08/2024 18:13,32.45
27/08/2024 19:22,97.9
27/08/2024 19:26,44
27/08/2024 19:28,62.59
28/08/2024 07:28,51.15
28/08/2024 07:49,14.3
28/08/2024 07:50,56.1
28/08/2024 07:50,30.8
28/08/2024 07:50,9.9
28/08/2024 07:56,24.09
28/08/2024 08:08,28.6
28/08/2024 08:21,18.7
28/08/2024 09:01,8.8
28/08/2024 09:07,63.58
28/08/2024 09:08,99.88
28/08/2024 09:23,19.69
28/08/2024 09:23,16.5
28/08/2024 09:24,8.8
28/08/2024 09:28,19.8
28/08/2024 09:32,28.6
28/08/2024 09:50,8.8
28/08/2024 09:51,29.7
28/08/2024 09:52,27.5
28/08/2024 09:53,20.9
28/08/2024 09:54,9.35
28/08/2024 10:05,29.7
28/08/2024 10:31,15.4
28/08/2024 11:44,23.9
28/08/2024 12:32,9.9
28/08/2024 12:33,15.4
28/08/2024 13:25,15
28/08/2024 14:30,42
28/08/2024 14:59,31.9
28/08/2024 15:29,52.8
28/08/2024 15:31,15.4
28/08/2024 16:24,46
28/08/2024 16:57,47.3
28/08/2024 17:05,53.9
28/08/2024 17:15,25.3
28/08/2024 17:20,37.4
28/08/2024 17:21,39.6
28/08/2024 18:32,96
28/08/2024 18:40,18.7
